,Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
279,keion white,16.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,12.0,14.0,3.0,5.0,0.0,0.0
280,kemoko turay,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
281,kendal vickers,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,2.0,2.6666666666666665,0.0,0.0,0.0,0.0
282,kenny clark,17.0,17.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.5,44.0,22.0,22.0,9.0,16.0,0.0,6.0
283,kenny willekes,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,18.0,11.0,7.0,2.0,7.0,0.0,0.0
284,kentavius street,15.0,2.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,2.125,22.25,12.0,10.25,4.75,3.75,0.0,0.0
285,keondre coburn,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,7.0,0.0,0.0,0.0,0.0
286,kerry hyder,11.0,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,11.0,6.5,4.5,1.5,2.5,0.0,0.0
287,kevin givens,12.666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1.6666666666666667,16.666666666666668,8.333333333333334,8.333333333333334,2.0,4.0,0.0,0.0
288,kevin strong,11.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,9.0,5.5,0.0,0.0,0.0,0.0
289,khalen saunders,13.333333333333334,5.666666666666667,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,37.666666666666664,16.0,21.666666666666668,1.3333333333333333,3.3333333333333335,0.0,0.0
290,khalid kareem,4.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.3333333333333333,0.0,0.0,3.6666666666666665,2.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.0,0.0
291,khalil davis,13.5,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,1.5,22.0,11.5,10.5,5.0,4.0,0.0,0.0
292,khristian boyd,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
293,khyiris tonga,13.25,1.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.125,22.25,9.25,13.0,0.75,1.0,0.0,0.0
294,kingsley enagbare,17.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.5,39.0,18.0,21.0,6.0,8.0,0.0,0.0
295,kingsley jonathan,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,2.5,0.5,1.0,0.0,0.0
296,kj henry,6.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.25,11.0,7.5,3.5,2.5,1.5,0.0,0.0
297,kurt hinish,14.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,19.0,9.0,10.0,3.3333333333333335,1.3333333333333333,0.0,0.0
298,kwity paye,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-5.0,0.0,8.5,52.0,31.0,21.0,8.0,9.0,0.0,0.0
299,kyle peko,8.5,3.5,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.5,11.25,6.25,5.0,1.25,1.75,0.0,0.0
300,kyle phillips,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.0,3.5,5.5,1.0,1.5,0.0,0.0
301,labryan ray,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,12.0,0.0,0.0,0.0,0.0
